round,accuracy
1.000000000000000000e+00,8.372093023255814614e+01
2.000000000000000000e+00,8.604651162790698038e+01
3.000000000000000000e+00,8.604651162790698038e+01
4.000000000000000000e+00,8.837209302325581461e+01
5.000000000000000000e+00,8.837209302325581461e+01
6.000000000000000000e+00,8.604651162790698038e+01
7.000000000000000000e+00,9.069767441860464885e+01
8.000000000000000000e+00,9.069767441860464885e+01
9.000000000000000000e+00,8.372093023255814614e+01
1.000000000000000000e+01,8.139534883720929770e+01
1.100000000000000000e+01,8.837209302325581461e+01
1.200000000000000000e+01,8.139534883720929770e+01
1.300000000000000000e+01,8.837209302325581461e+01
1.400000000000000000e+01,9.069767441860464885e+01
1.500000000000000000e+01,8.837209302325581461e+01
1.600000000000000000e+01,8.837209302325581461e+01
1.700000000000000000e+01,8.604651162790698038e+01
1.800000000000000000e+01,8.837209302325581461e+01
1.900000000000000000e+01,8.604651162790698038e+01
2.000000000000000000e+01,8.604651162790698038e+01
2.100000000000000000e+01,8.604651162790698038e+01
2.200000000000000000e+01,8.837209302325581461e+01
2.300000000000000000e+01,8.604651162790698038e+01
2.400000000000000000e+01,8.837209302325581461e+01
2.500000000000000000e+01,8.604651162790698038e+01
2.600000000000000000e+01,8.837209302325581461e+01
2.700000000000000000e+01,8.604651162790698038e+01
2.800000000000000000e+01,8.837209302325581461e+01
2.900000000000000000e+01,8.604651162790698038e+01
3.000000000000000000e+01,8.604651162790698038e+01
3.100000000000000000e+01,8.372093023255814614e+01
3.200000000000000000e+01,8.604651162790698038e+01
3.300000000000000000e+01,8.604651162790698038e+01
3.400000000000000000e+01,8.372093023255814614e+01
3.500000000000000000e+01,8.372093023255814614e+01
3.600000000000000000e+01,8.604651162790698038e+01
3.700000000000000000e+01,8.837209302325581461e+01
3.800000000000000000e+01,8.372093023255814614e+01
3.900000000000000000e+01,8.604651162790698038e+01
4.000000000000000000e+01,8.372093023255814614e+01
4.100000000000000000e+01,9.069767441860464885e+01
4.200000000000000000e+01,8.837209302325581461e+01
4.300000000000000000e+01,8.604651162790698038e+01
4.400000000000000000e+01,9.069767441860464885e+01
4.500000000000000000e+01,8.837209302325581461e+01
4.600000000000000000e+01,8.837209302325581461e+01
4.700000000000000000e+01,8.604651162790698038e+01
4.800000000000000000e+01,8.604651162790698038e+01
4.900000000000000000e+01,8.604651162790698038e+01
5.000000000000000000e+01,9.069767441860464885e+01
